job_id,skill,extracted_at
sample-00000,Docker,2026-03-26 21:00:00
sample-00000,Python,2026-03-26 14:00:00
sample-00002,Docker,2026-06-01 03:00:00
sample-00002,Git,2026-06-01 06:00:00
sample-00003,Docker,2026-05-08 09:00:00
sample-00003,Git,2026-05-07 04:00:00
sample-00005,SQL,2026-06-27 07:00:00
sample-00006,SQL,2026-03-26 06:00:00
sample-00006,Kubernetes,2026-03-26 05:00:00
sample-00006,Python,2026-03-26 16:00:00
sample-00007,Git,2026-06-07 09:00:00
sample-00007,Python,2026-06-07 22:00:00
sample-00008,TensorFlow,2026-04-09 19:00:00
sample-00009,Docker,2026-03-28 13:00:00
sample-00009,LangChain,2026-03-28 07:00:00
sample-00009,PyTorch,2026-03-28 03:00:00
sample-00010,AWS,2026-05-18 09:00:00
sample-00011,Git,2026-07-10 03:00:00
sample-00011,Machine Learning,2026-07-11 21:00:00
sample-00012,Python,2026-06-12 04:00:00
sample-00012,PyTorch,2026-06-11 02:00:00
sample-00013,SQL,2026-06-14 01:00:00
sample-00013,MLOps,2026-06-15 03:00:00
sample-00013,Docker,2026-06-15 03:00:00
sample-00013,Python,2026-06-15 11:00:00
sample-00014,Machine Learning,2026-06-10 21:00:00
sample-00014,Kubernetes,2026-06-10 23:00:00
sample-00014,Python,2026-06-09 16:00:00
sample-00014,SQL,2026-06-09 20:00:00
sample-00015,AWS,2026-06-17 11:00:00
sample-00015,Python,2026-06-18 11:00:00
sample-00015,Machine Learning,2026-06-17 16:00:00
sample-00016,Python,2026-05-16 23:00:00
sample-00016,PyTorch,2026-05-16 08:00:00
sample-00018,Python,2026-06-23 04:00:00
sample-00021,Python,2026-04-29 23:00:00
sample-00022,Python,2026-04-06 18:00:00
sample-00022,Machine Learning,2026-04-06 17:00:00
sample-00022,Spark,2026-04-07 01:00:00
sample-00023,Docker,2026-07-04 12:00:00
sample-00024,Docker,2026-06-17 17:00:00
sample-00024,TensorFlow,2026-06-18 22:00:00
sample-00024,PyTorch,2026-06-18 20:00:00
sample-00025,Kubernetes,2026-06-01 04:00:00
sample-00025,Python,2026-06-01 09:00:00
sample-00025,Machine Learning,2026-06-01 06:00:00
sample-00025,Spark,2026-06-01 10:00:00
sample-00025,REST API,2026-06-01 01:00:00
sample-00027,REST API,2026-06-21 21:00:00
sample-00028,Docker,2026-05-20 18:00:00
sample-00029,AWS,2026-05-07 02:00:00
sample-00030,TensorFlow,2026-05-09 19:00:00
sample-00030,Docker,2026-05-09 06:00:00
sample-00030,SQL,2026-05-08 10:00:00
sample-00030,PyTorch,2026-05-09 18:00:00
sample-00031,TensorFlow,2026-04-13 09:00:00
sample-00031,AWS,2026-04-12 04:00:00
sample-00032,Python,2026-03-27 14:00:00
sample-00032,NLP,2026-03-26 09:00:00
sample-00032,Docker,2026-03-26 22:00:00
